#Compound                    Mass                        parameter_A              parameter_B
HOM20_OH_O9                  418.000000000000             9.271100000000          7300.565495321953
HOM20_OH_O10                 434.000000000000             8.557100000000          7162.953778591419
HOM20_OH_O11                 450.000000000000             9.263900000000          8023.768133039179
HOM20_OH_O12                 466.000000000000             9.970700000000          8884.582391188320
HOM20_OH_O13                 482.000000000000             9.256700000000          8746.970740126999
HOM20_OH_NO8                 417.000000000000            10.105200000000          6782.503160202639
HOM20_OH_NO9                 433.000000000000            10.811900000000          7643.317481560642
HOM20_OH_NO10                449.000000000000             9.019100000000          7226.719618990120
HOM20_OH_NO11                465.000000000000             9.019100000000          7226.719618990120
HOM20_OH_NO12                481.000000000000             9.725800000000          8087.533942700381
HOM20_OH_NO13                497.000000000000             9.011800000000          7949.922245757201
HOM20_OH_NO14                513.000000000000             9.718605110928          8810.736526000002
HOM19_OH_O6                  356.000000000000             9.649060031138          6550.661133000001
HOM19_OH_O7                  372.000000000000             8.933921563969          6584.226199000002
HOM19_OH_O8                  388.000000000000             8.146003533586          6188.061368000000
HOM19_OH_O9                  404.000000000000             8.852777808888          7048.875717000001
HOM19_OH_O10                 420.000000000000             8.138781856227          6911.264059000000
HOM19_OH_O11                 436.000000000000             8.845555747084          7772.078295000004
HOM19_OH_O12                 452.000000000000             9.552329881749          8632.892600999996
HOM19_OH_O13                 468.000000000000             8.838333897842          8495.280935999997
HOM19_OH_O14                 484.000000000000             9.545108025643          9356.095241999998
HOM19_OH_NO9                 419.000000000000            10.393577625227          7391.627755000000
HOM19_OH_NO10                435.000000000000             9.388609849218          7371.194649000000
HOM19_OH_NO11                451.000000000000             8.600692158131          6975.029915000000
HOM19_OH_NO12                467.000000000000             9.307466088432          7835.844161999997
HOM19_OH_NO13                483.000000000000             8.593470181772          7698.232529999998
HOM19_OH_NO14                499.000000000000             9.300243739625          8559.046665000000
HOM18_OH_O5                  326.000000000000            10.235666582074          6319.404420000001
